Wiek;Ogółem;Wyższe;Policealne;Średnie;Zasadnicze zawodowe;Gimnazjalne;Podstawowe
28;249695;64528;6094;80501;56935;669;17863
29;236278;59327;5033;72799;57959;474;18491
30;233895;54887;4961;70611;61973;467;19665
31;233575;52226;5015;68657;66583;315;20784
32;229433;47867;5059;66624;68946;330;21523
33;226121;43803;4841;64425;73531;306;21909
34;229137;41448;4978;64013;78212;212;24119
35;227410;37014;4826;63301;81863;281;25207
36;223703;34210;4077;60296;85224;239;25317
37;218353;31100;3798;57072;88014;173;24960
38;212637;28653;3600;56107;87735;157;24506
39;208594;26652;3603;53920;89265;174;23965
40;200904;23934;3286;51675;86317;196;24905
41;196855;22121;3191;49928;85786;213;25593
42;194644;20903;3009;48825;85889;171;26537
43;193219;19460;2955;48219;85490;170;27701
44;194209;19539;2873;48181;86232;113;28509
45;195089;18386;2816;49179;88405;144;27575
46;195228;18216;2912;50301;88188;177;26622
47;199396;18219;2906;51886;90010;174;27468
48;201417;17468;3249;53824;90031;202;28615
49;204104;16716;3950;54828;90684;132;29869
50;209204;15892;4431;54808;92958;187;33152
51;218901;15911;4926;56402;96246;138;37574
52;221309;15921;5278;56702;94141;123;41828
53;221777;14912;5151;54470;92469;164;47349
54;212530;14173;4232;51059;85684;196;50831
55;211563;13371;3719;48658;82677;178;56839
56;201018;11656;3338;45575;75990;247;58452
57;194503;11208;3393;43091;70934;197;60556
58;189208;10281;2797;42224;66963;178;62166
59;186556;10229;2596;39690;64772;236;64208
60;176645;10222;2699;35488;58434;194;65618
61;166492;9928;2481;32097;52637;187;65333
62;159302;9176;2578;29590;47741;194;66314
63;148873;8456;2267;25977;42054;157;66970
64;135142;7974;2047;22297;35201;199;64825
65;104523;5345;1584;15555;24441;145;55433
66;92357;4350;1019;12555;19413;187;53047
67;95082;4420;906;11415;17645;99;58818
68;87313;3925;802;9748;14450;145;56734
69;92524;4111;703;9540;13866;177;62507
70;95905;4026;700;9981;13382;207;65791
71;101616;3701;636;10583;13788;222;70912
72;99092;3305;656;9884;13309;223;70037
73;96073;2954;543;9780;11806;270;68990
